id,text
381,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
382,"Yeah sure, give me a couple minutes to track down my wallet"
383,Hey leave it. not a big deal:-) take care.
384,Hey i will be late ah... Meet you at 945+
385,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
386,It took Mr owl 3 licks
387,Customer place i will call you.
388,Mm that time you dont like fun
389,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
390,Yup having my lunch buffet now.. U eat already?
391,Huh so late... Fr dinner?
392,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
393,Morning only i can ok.
394,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
395,Pick you up bout 7.30ish? What time are  and that going?
396,From here after The performance award is calculated every two month.not for current one month period..
397,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
398,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
399,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
400,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
401,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop"
402,Dear how is chechi. Did you talk to her
403,The hair cream has not been shipped.
404,None of that's happening til you get here though
405,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
406,"Haha get used to driving to usf man, I know a lot of stoners"
407,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
408,Hello! Good week? Fancy a drink or something later?
409,Headin towards busetop
410,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
411,Come by our room at some point so we can iron out the plan for this weekend
412,Cos i want it to be your thing
413,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... "
414,Bring home some Wendy =D
415,100 dating service cal;l 09064012103 box334sk38ch
416,Whatsup there. Dont u want to sleep
417,Alright i have a new goal now
418,FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
419,"Alright, I'll head out in a few minutes, text me where to meet you"
420,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
421,Yes:)from last week itself i'm taking live call.
422,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
423,Siva is in hostel aha:-.
424,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
425,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..
426,Ok. She'll be ok. I guess
427,aathi..where are you dear..
428,Any pain on urination any thing else?
429,7 at esplanade.. Do Ì_ mind giving me a lift cos i got no car today..
430,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
431,At home watching tv lor.
432,Does she usually take fifteen fucking minutes to respond to a yes or no question
433,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
434,Booked ticket for pongal?
435,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
436,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
437,"Ask g or iouri, I've told the story like ten times already"
438,How long does applebees fucking take
439,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
440,But i have to. I like to have love and arrange.
441,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
442,You were supposed to wake ME up &gt;:(
443,Oic... I saw him too but i tot he din c me... I found a group liao...
444,"Sorry, I'll call later"
445,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS
446,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
447,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. "
448,I wont get concentration dear you know you are my mind and everything :-)
449,LOL ... Have you made plans for new years?
450,10 min later k...
451,hanks lotsly!
452,Thanks for this hope you had a good day today
453,K:)k:)what are detail you want to transfer?acc no enough?
454,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
455,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
456,Si si. I think ill go make those oreo truffles.
457,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY."
458,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
459,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
460,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
461,Where did u go? My phone is gonna die you have to stay in here
462,Great. Never been better. Each day gives even more reasons to thank God
463,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
464,"Sorry, I'll call later ok bye"
465,Ok i am on the way to railway
466,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
467,They don't put that stuff on the roads to keep it from getting slippery over there?
468,When are you going to ride your bike?
469,"Yup, no need. I'll jus wait 4 e rain 2 stop."
470,There are many company. Tell me the language.
471,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
472,"How long has it been since you screamed, princess?"
473,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
474,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p
475,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)
476,Ok I'm gonna head up to usf in like fifteen minutes
477,Love you aathi..love u lot..
478,Tension ah?what machi?any problem?
479,"K, can I pick up another 8th when you're done?"
480,When're you guys getting back? G said you were thinking about not staying for mcr
481,"Almost there, see u in a sec"
482,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
483,Watching tv lor...
484,Thank you baby! I cant wait to taste the real thing...
485,You should change your fb to jaykwon thuglyfe falconerf
486,If we win its really no 1 side for long time.
487,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
488,Dear reached railway. What happen to you
489,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
490,I think i've fixed it can you send a test message?
491,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
492,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
493,"Sorry,in meeting I'll call later"
494,What class of  &lt;#&gt;  reunion?
495,Are you free now?can i call now?
496,Got meh... When?
497,Nope... Think i will go for it on monday... Sorry i replied so late
498,Some of them told accenture is not confirm. Is it true.
499,"Kate jackson rec center before 7ish, right?"
500,Dear i have reache room
